,_cumulative_episode,_episode,_season,twss_count,first_episode,Michael,Jim,Pam,Dwight,Jan,Stanley,Oscar,Angela,Kevin,Ryan,Roy,Toby,Kelly,Meredith,Darryl,last_episode,Creed,Andy,Holly,Pete,Erin,Gabe,Clark,Robert,Nellie
66,66.0,2.0,5.0,0.0,0.0,958.0,337.0,52.0,197.0,0.0,27.0,110.0,25.0,183.0,233.0,0.0,0.0,45.0,285.0,0.0,0.0,25.0,91.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0
67,67.0,3.0,5.0,0.0,0.0,1106.0,271.0,320.0,497.0,679.0,50.0,39.0,165.0,81.0,0.0,0.0,17.0,19.0,1.0,63.0,0.0,9.0,91.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68.0,4.0,5.0,1.0,0.0,1384.0,243.0,148.0,441.0,0.0,8.0,50.0,45.0,35.0,0.0,44.0,0.0,0.0,0.0,67.0,0.0,25.0,83.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0
69,69.0,5.0,5.0,1.0,0.0,963.0,231.0,303.0,427.0,0.0,1.0,81.0,61.0,44.0,26.0,0.0,0.0,63.0,21.0,468.0,0.0,17.0,578.0,507.0,141.0,0.0,0.0,0.0,0.0,0.0
70,70.0,6.0,5.0,3.0,0.0,955.0,901.0,317.0,1111.0,0.0,32.0,0.0,88.0,11.0,100.0,0.0,0.0,246.0,11.0,26.0,0.0,0.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,71.0,7.0,5.0,0.0,0.0,1036.0,163.0,184.0,145.0,0.0,12.0,249.0,27.0,12.0,157.0,0.0,0.0,147.0,26.0,0.0,0.0,14.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72.0,8.0,5.0,0.0,0.0,1030.0,522.0,217.0,566.0,0.0,0.0,57.0,20.0,21.0,252.0,0.0,195.0,53.0,11.0,0.0,0.0,29.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,73.0,9.0,5.0,0.0,0.0,1071.0,216.0,419.0,422.0,0.0,15.0,392.0,156.0,20.0,0.0,0.0,27.0,9.0,10.0,0.0,0.0,5.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,74.0,10.0,5.0,0.0,0.0,978.0,180.0,40.0,378.0,0.0,22.0,33.0,138.0,45.0,0.0,0.0,202.0,8.0,289.0,31.0,0.0,8.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,75.0,11.0,5.0,0.0,0.0,687.0,260.0,100.0,724.0,0.0,6.0,92.0,222.0,74.0,0.0,0.0,0.0,22.0,48.0,0.0,0.0,4.0,524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,76.0,12.0,5.0,0.0,0.0,953.0,299.0,52.0,841.0,0.0,86.0,67.0,51.0,141.0,0.0,0.0,0.0,44.0,9.0,0.0,0.0,3.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,77.0,13.0,5.0,0.0,0.0,2061.0,268.0,470.0,977.0,0.0,210.0,81.0,139.0,71.0,0.0,0.0,0.0,44.0,43.0,48.0,0.0,28.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,78.0,14.0,5.0,0.0,0.0,1181.0,321.0,265.0,265.0,0.0,71.0,9.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,59.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,79.0,15.0,5.0,0.0,0.0,663.0,357.0,397.0,345.0,0.0,19.0,90.0,359.0,125.0,0.0,0.0,0.0,204.0,34.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,80.0,16.0,5.0,0.0,0.0,1282.0,221.0,278.0,331.0,0.0,34.0,128.0,67.0,188.0,0.0,0.0,0.0,86.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,81.0,17.0,5.0,1.0,0.0,1554.0,413.0,290.0,577.0,0.0,18.0,27.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,6.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,82.0,18.0,5.0,0.0,0.0,1582.0,434.0,146.0,231.0,0.0,13.0,8.0,84.0,32.0,0.0,0.0,0.0,58.0,5.0,0.0,0.0,18.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,83.0,19.0,5.0,0.0,0.0,1109.0,215.0,348.0,113.0,0.0,41.0,171.0,92.0,108.0,0.0,0.0,34.0,76.0,11.0,0.0,0.0,10.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,84.0,20.0,5.0,0.0,0.0,1309.0,261.0,575.0,117.0,0.0,25.0,2.0,12.0,96.0,70.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,85.0,21.0,5.0,0.0,0.0,820.0,308.0,458.0,339.0,0.0,22.0,31.0,0.0,13.0,300.0,0.0,77.0,43.0,6.0,0.0,0.0,30.0,140.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0
86,86.0,22.0,5.0,0.0,0.0,1241.0,318.0,172.0,918.0,0.0,9.0,0.0,0.0,6.0,48.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,87.0,23.0,5.0,0.0,0.0,912.0,291.0,311.0,306.0,0.0,12.0,0.0,31.0,1.0,181.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
88,88.0,24.0,5.0,0.0,0.0,1306.0,270.0,176.0,525.0,0.0,63.0,32.0,64.0,73.0,177.0,0.0,172.0,22.0,90.0,10.0,0.0,78.0,97.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
89,89.0,25.0,5.0,0.0,0.0,1221.0,156.0,123.0,543.0,0.0,20.0,43.0,158.0,125.0,34.0,0.0,0.0,78.0,7.0,0.0,0.0,30.0,119.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0
90,90.0,26.0,5.0,0.0,0.0,658.0,368.0,195.0,515.0,0.0,20.0,12.0,21.0,30.0,0.0,0.0,13.0,0.0,11.0,0.0,1.0,0.0,104.0,357.0,0.0,41.0,0.0,0.0,0.0,0.0
91,91.0,1.0,6.0,0.0,1.0,1390.0,352.0,272.0,353.0,0.0,139.0,123.0,36.0,109.0,3.0,0.0,20.0,45.0,29.0,0.0,0.0,56.0,363.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0
92,92.0,2.0,6.0,0.0,0.0,1159.0,196.0,254.0,328.0,0.0,7.0,44.0,8.0,5.0,25.0,0.0,267.0,60.0,41.0,151.0,0.0,28.0,236.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
93,93.0,3.0,6.0,0.0,0.0,1094.0,1001.0,164.0,427.0,0.0,23.0,136.0,52.0,93.0,82.0,0.0,0.0,79.0,64.0,0.0,0.0,8.0,54.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0
94,94.0,4.0,6.0,0.0,0.0,1152.0,520.0,348.0,565.0,0.0,34.0,37.0,65.0,135.0,18.0,0.0,10.0,20.0,32.0,0.0,0.0,0.0,251.0,0.0,43.0,49.0,0.0,0.0,0.0,0.0
95,95.0,5.0,6.0,0.0,0.0,595.0,192.0,315.0,287.0,0.0,22.0,34.0,25.0,166.0,13.0,0.0,25.0,6.0,52.0,0.0,0.0,0.0,242.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0
96,96.0,6.0,6.0,0.0,0.0,1159.0,83.0,71.0,493.0,0.0,0.0,188.0,0.0,169.0,29.0,0.0,25.0,0.0,23.0,0.0,0.0,7.0,577.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0
