,_cumulative_episode,_episode,_season,Michael,Jim,Pam,Dwight,Jan,Stanley,Oscar,Angela,Kevin,Ryan,Roy,Toby,Kelly,Meredith,Darryl,Creed,Andy,Holly,Pete,Erin,Gabe,Clark,Robert,Nellie
59,59.0,9.0,4.0,101.0,42.0,35.0,18.0,90.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60.0,10.0,4.0,100.0,26.0,42.0,22.0,0.0,1.0,2.0,4.0,20.0,0.0,0.0,1.0,7.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,61.0,11.0,4.0,104.0,43.0,17.0,48.0,0.0,6.0,8.0,5.0,4.0,70.0,0.0,8.0,5.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,62.0,12.0,4.0,99.0,31.0,30.0,32.0,0.0,23.0,2.0,3.0,8.0,14.0,0.0,13.0,6.0,1.0,13.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,63.0,13.0,4.0,76.0,21.0,34.0,10.0,0.0,0.0,5.0,4.0,9.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,64.0,14.0,4.0,167.0,77.0,47.0,49.0,24.0,5.0,4.0,17.0,23.0,5.0,0.0,51.0,4.0,9.0,3.0,8.0,12.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
65,65.0,1.0,5.0,130.0,68.0,36.0,61.0,13.0,8.0,24.0,26.0,14.0,20.0,0.0,3.0,17.0,7.0,13.0,5.0,31.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
66,66.0,2.0,5.0,64.0,29.0,9.0,14.0,0.0,5.0,7.0,2.0,13.0,12.0,0.0,0.0,3.0,23.0,0.0,2.0,12.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
67,67.0,3.0,5.0,83.0,28.0,25.0,39.0,51.0,2.0,4.0,16.0,12.0,0.0,0.0,3.0,2.0,1.0,9.0,2.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68.0,4.0,5.0,94.0,36.0,11.0,33.0,0.0,1.0,5.0,8.0,5.0,0.0,14.0,0.0,0.0,0.0,8.0,2.0,7.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
69,69.0,5.0,5.0,101.0,25.0,25.0,38.0,0.0,1.0,6.0,8.0,5.0,4.0,0.0,0.0,7.0,1.0,55.0,2.0,44.0,73.0,15.0,0.0,0.0,0.0,0.0,0.0
70,70.0,6.0,5.0,73.0,111.0,34.0,99.0,0.0,4.0,0.0,6.0,2.0,6.0,0.0,0.0,23.0,1.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,71.0,7.0,5.0,77.0,22.0,14.0,16.0,0.0,3.0,38.0,10.0,2.0,13.0,0.0,0.0,15.0,5.0,0.0,1.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72.0,8.0,5.0,90.0,31.0,26.0,38.0,0.0,0.0,3.0,2.0,2.0,18.0,0.0,29.0,10.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,73.0,9.0,5.0,100.0,31.0,58.0,29.0,0.0,4.0,31.0,23.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,74.0,10.0,5.0,65.0,26.0,6.0,27.0,0.0,4.0,5.0,12.0,3.0,0.0,0.0,15.0,1.0,36.0,6.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,75.0,11.0,5.0,52.0,34.0,9.0,66.0,0.0,2.0,10.0,22.0,8.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,76.0,12.0,5.0,90.0,13.0,5.0,73.0,0.0,5.0,3.0,3.0,14.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,77.0,13.0,5.0,118.0,35.0,32.0,73.0,0.0,28.0,11.0,16.0,8.0,0.0,0.0,0.0,3.0,3.0,6.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,78.0,14.0,5.0,55.0,34.0,35.0,25.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,79.0,15.0,5.0,50.0,33.0,38.0,33.0,0.0,2.0,13.0,19.0,18.0,0.0,0.0,0.0,18.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,80.0,16.0,5.0,86.0,35.0,32.0,31.0,0.0,2.0,14.0,4.0,15.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,81.0,17.0,5.0,113.0,39.0,24.0,71.0,0.0,1.0,7.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,82.0,18.0,5.0,104.0,30.0,14.0,21.0,0.0,2.0,3.0,8.0,5.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,83.0,19.0,5.0,88.0,26.0,38.0,12.0,0.0,7.0,12.0,6.0,13.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,84.0,20.0,5.0,78.0,35.0,65.0,17.0,0.0,4.0,1.0,3.0,10.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,85.0,21.0,5.0,46.0,28.0,45.0,28.0,0.0,3.0,5.0,0.0,2.0,25.0,0.0,3.0,5.0,1.0,0.0,2.0,18.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
