,_cumulative_episode,_episode,_season,twss_count,first_episode,Michael,Jim,Pam,Dwight,Jan,Stanley,Oscar,Angela,Kevin,Ryan,Roy,Toby,Kelly,Meredith,Darryl,last_episode,Creed,Andy,Holly,Pete,Erin,Gabe,Clark,Robert,Nellie
133,133,17,7,0,0,57,38,36,41,0,1,1,1,13,4,0,0,3,3,0,0,0,29,32,0,10,1,0,0,0
134,134,18,7,0,0,72,24,32,31,0,1,7,1,18,9,0,0,3,3,10,0,0,17,47,0,0,1,0,0,0
135,135,19,7,0,0,68,10,8,10,0,3,5,4,4,2,0,0,5,1,8,0,0,12,0,0,10,4,0,0,0
136,136,20,7,0,0,82,24,15,13,0,3,6,2,6,6,0,2,0,6,3,0,1,4,0,0,12,2,0,0,0
137,137,21,7,1,0,116,18,20,16,0,7,6,12,11,3,0,5,3,6,3,0,2,24,6,0,12,10,0,0,0
138,138,22,7,0,0,0,40,24,20,0,0,2,4,13,15,0,1,15,0,8,0,0,9,0,0,3,8,0,0,0
139,139,23,7,0,0,0,28,11,73,0,2,4,11,20,2,0,6,6,1,5,0,2,26,0,0,13,20,0,0,0
140,140,24,7,0,0,0,90,32,44,0,4,22,11,14,11,0,13,17,6,27,1,17,26,0,0,23,30,0,12,9
141,141,1,8,0,1,0,38,25,38,0,8,7,7,10,5,0,4,6,6,5,0,1,52,0,0,9,3,0,33,0
142,142,2,8,0,0,0,42,34,21,0,5,7,14,24,5,0,1,5,5,7,0,0,86,0,0,18,0,0,24,0
143,143,3,8,0,0,0,52,23,37,0,0,18,3,21,6,0,2,6,4,49,0,1,63,0,0,12,0,0,0,0
144,144,4,8,0,0,0,23,15,29,0,1,10,13,6,8,0,6,3,6,10,0,0,66,0,0,5,4,0,18,0
145,145,5,8,0,0,0,29,27,21,0,4,10,5,9,3,0,7,12,9,9,0,4,34,0,0,36,9,0,32,0
146,146,6,8,0,0,0,44,21,51,0,9,11,7,10,3,0,8,5,0,16,0,0,54,0,0,8,24,0,35,0
147,147,7,8,0,0,0,40,65,55,0,0,4,0,15,6,0,4,6,0,23,0,2,43,0,0,13,2,0,10,0
148,148,8,8,0,0,0,25,18,30,0,4,20,1,18,11,0,0,5,1,13,0,0,58,0,0,17,10,0,24,0
149,149,9,8,0,0,0,29,0,52,0,1,12,2,2,3,0,3,1,1,24,0,2,59,0,0,8,4,0,40,0
150,150,10,8,0,0,0,44,0,28,0,5,9,2,10,10,0,6,10,18,10,0,2,88,0,0,38,0,0,26,0
151,151,11,8,0,0,0,19,0,34,0,5,19,2,19,6,0,0,7,7,10,0,1,44,0,0,6,21,0,16,0
152,152,12,8,0,0,0,22,0,47,0,7,12,5,11,10,0,8,6,9,10,0,0,44,0,0,58,9,0,24,0
153,153,13,8,0,0,0,73,28,58,0,7,24,31,12,2,0,5,2,2,13,0,5,47,0,0,14,5,0,0,0
154,154,14,8,0,0,0,30,29,67,0,7,4,8,5,12,0,2,8,2,23,0,1,45,0,0,15,0,0,0,0
155,155,15,8,0,0,0,32,10,63,0,13,1,0,2,9,0,0,3,2,4,0,2,22,0,0,21,0,0,0,27
156,156,16,8,0,0,0,55,15,60,0,6,10,11,4,20,0,0,8,0,14,0,0,20,0,0,19,6,0,0,24
157,157,17,8,0,0,0,28,10,53,0,1,6,9,8,17,0,18,9,3,4,0,1,28,0,0,10,0,0,0,19
158,158,18,8,0,0,0,45,10,45,0,2,4,3,19,2,0,16,3,1,26,0,2,20,0,0,15,1,0,0,12
159,159,19,8,0,0,0,38,17,21,0,1,1,1,8,1,0,3,1,2,7,0,1,33,0,0,32,0,0,24,42
160,160,20,8,0,0,0,39,32,22,0,1,11,8,3,3,0,0,0,0,1,0,3,48,0,0,25,2,0,19,22
161,161,21,8,0,0,0,19,29,16,0,1,7,7,9,30,0,1,13,1,5,0,2,53,0,0,24,4,0,18,36
162,162,22,8,0,0,0,24,22,15,0,1,16,4,18,17,0,0,0,2,14,0,1,41,0,0,7,0,0,13,17
163,163,23,8,0,0,0,48,23,56,0,1,1,3,1,0,0,7,0,0,0,0,1,28,0,0,8,13,0,33,15
164,164,24,8,0,0,0,31,22,27,0,1,11,20,3,0,0,5,4,2,15,1,1,49,0,0,9,2,0,15,19
165,165,1,9,0,1,0,21,19,42,0,3,9,16,7,1,0,11,2,2,3,0,1,33,0,13,4,0,22,0,10
166,166,2,9,0,0,0,39,34,31,0,1,5,7,10,0,11,5,0,1,11,0,4,33,0,16,31,0,22,0,31
167,167,3,9,0,0,0,19,34,24,0,2,7,2,3,0,0,0,0,1,31,0,0,44,0,5,21,0,4,0,34
168,168,4,9,0,0,0,60,29,40,0,10,13,5,16,0,0,2,0,7,11,0,3,40,0,2,11,0,12,0,27
169,169,5,9,1,0,0,35,32,39,0,2,3,6,2,0,0,5,0,5,6,0,3,50,0,2,24,0,5,0,21
170,170,6,9,0,0,0,9,11,34,0,0,27,12,25,0,0,9,0,3,4,0,1,54,0,10,40,0,0,0,16
171,171,7,9,0,0,0,22,45,53,25,0,21,21,3,0,0,5,0,4,3,0,1,9,0,9,18,0,4,0,6
172,172,8,9,0,0,0,29,17,57,0,14,22,52,16,0,0,8,0,8,6,0,3,0,0,23,6,0,0,0,9
173,173,9,9,0,0,0,58,32,59,0,5,7,11,13,0,0,11,0,5,17,0,2,0,0,22,24,0,0,0,11
174,174,10,9,0,0,0,28,44,18,0,4,10,16,14,0,0,0,0,22,15,0,4,0,0,7,26,0,0,0,9
175,175,11,9,0,0,0,18,23,41,0,4,19,13,19,0,0,0,0,6,19,0,3,0,0,2,11,0,35,0,9
176,176,12,9,0,0,0,37,48,44,0,1,8,6,10,0,0,7,0,2,24,0,2,0,0,12,18,0,1,0,24
177,177,13,9,0,0,0,45,24,87,0,2,2,1,1,0,0,0,0,5,2,0,0,0,0,0,2,0,33,0,3
178,178,14,9,0,0,0,30,57,37,0,0,12,15,6,0,0,3,0,1,35,0,1,0,0,0,10,0,4,0,9
179,179,15,9,0,0,0,26,28,32,8,1,7,4,6,0,0,0,0,2,3,0,0,62,0,8,26,0,9,0,7
180,180,16,9,0,0,0,28,55,44,0,5,8,42,5,0,0,15,0,7,5,0,4,83,0,41,33,20,9,0,8
181,181,17,9,0,0,0,6,21,51,0,2,11,8,12,0,0,0,0,3,1,0,3,5,0,0,4,0,5,0,2
182,182,18,9,0,0,0,31,42,37,0,5,29,32,9,0,0,2,0,3,12,0,0,11,0,2,3,0,23,0,4
183,183,19,9,0,0,0,15,9,61,0,21,7,4,5,0,0,15,0,2,0,0,2,31,0,2,10,0,37,7,13
184,184,20,9,0,0,0,17,22,21,0,2,2,16,10,0,0,7,0,0,10,0,1,39,0,4,16,0,6,2,20
185,185,21,9,0,0,0,63,30,54,0,4,19,30,13,0,0,7,0,1,11,0,2,68,0,5,9,0,8,0,5
186,186,22,9,0,0,0,89,34,87,0,4,28,39,30,0,0,0,0,9,30,0,4,44,0,4,22,0,5,0,0
187,187,23,9,1,0,2,73,45,76,0,8,18,23,31,15,0,13,12,15,19,1,8,31,0,3,11,0,3,0,9
